OBJECTID,BLDG_NUM,building_number,BLDG_TYPE,BLDG_NAME,ShowFeatur,latitude,longitude
201,141,141,Academic/Research,Georgia Tech Research Institute,Yes,-84.3949166,33.78574923
202,147,147,Academic/Research,Ford ES&T,Yes,-84.39597629,33.77890661
203,146,146,Academic/Research,Petit Biotechnology Building,Yes,-84.39726852,33.778995
204,181,181,Academic/Research,Nanotechnology Building,Yes,-84.39864001,33.77888899
205,22,22,Academic/Research,Daniel Laboratory,Yes,-84.39400135,33.77369959
206,18,18,Athletic,Edge Intercollegiate Athletic Center,Yes,-84.39225134,33.7733876
207,18A,018A,Athletic,Rice Center for Sports Performance,Yes,-84.39248549,33.77337198
208,17,17,Athletic,Bobby Dodd Stadium,Yes,-84.39353332,33.77260302
210,166,166,Academic/Research,Clough Building,Yes,-84.39640014,33.77463589
211,198,198,Admin/Services,Academy of Medicine,Yes,-84.38666591,33.77835001
212,11,11,Residence Halls,Harris Residence Hall,Yes,-84.39180384,33.77207887
213,54,54,Parking / Visitor Parking,Student Center Parking Deck,Yes,-84.40053554,33.77421862
216,52,52,Residence Halls,Graduate Living Center,Yes,-84.39636181,33.78201063
217,109,109,Residence Halls,Caldwell Residence Hall,Yes,-84.40441276,33.77885998
218,86,86,Academic/Research,Bunger-Henry Building,Yes,-84.3982159,33.77564267
219,111,111,Academic/Research,Mason Building,Yes,-84.39839409,33.7765741
220,164,164,Admin/Services,Central Receiving,Yes,-84.40145526,33.77289163
221,179,179,Academic/Research,830 W Peachtree St,Yes,-84.38772176,33.7774152
222,178,178,Academic/Research,Parking Office,Yes,-84.3876475,33.77706254
223,167,167,Academic/Research,Molecular Science & Engineering,Yes,-84.39669446,33.77986899
226,108,108,Residence Halls,Armstrong Residence Hall,Yes,-84.40358336,33.77909584
227,107,107,Residence Halls,Hefner Residence Hall,Yes,-84.40394441,33.77909899
229,2,2,Academic/Research,Skiles,Yes,-84.39594057,33.77359501
230,33A,033A,Athletic,O'Keefe Gym,Yes,-84.39161894,33.7794098
232,8,8,Parking / Visitor Parking,Peters Parking Deck,Yes,-84.39357182,33.7750147
233,132G,132G,Residence Halls,Center Street Apts - G,Yes,-84.40204096,33.78017163
234,12,12,Dining Hall,Brittain Dining Hall,Yes,-84.3913139,33.77243958
235,114A,114A,Admin/Services,Stamps Addition,Yes,-84.39780956,33.77356887
236,104A,104A,Admin/Services,Post Office,Yes,-84.39858474,33.77374062
237,114,114,Admin/Services,Stamps Student Center Commons,Yes,-84.39820078,33.77366931
238,58,58,Academic/Research,Old Civil Engineering Building,Yes,-84.39461469,33.77423975
240,51,51,Academic/Research,Hinman Highbay,Yes,-84.39510391,33.77465782
241,100,100,Academic/Research,Crosland Tower,Yes,-84.39516449,33.77421287
242,NA,NA,NA,NA,Yes,-84.3951193,33.7743958
243,66,66,Academic/Research,Cherry Emerson,Yes,-84.39720651,33.77796177
244,153,153,Academic/Research,Klaus Building,Yes,-84.39620239,33.77715621
245,720,720,Academic/Research,Heffernan House,Yes,-84.39263714,33.77666742
246,61A,061A,Academic/Research,430 10th Street (GTRI)  South,Yes,-84.40143584,33.78033447
247,61,61,Academic/Research,430 10th Street (GTRI) North,Yes,-84.40143394,33.78100737
248,133,133,Admin/Services,10th Street Chiller Plant,Yes,-84.40236948,33.78082589
249,77,77,Academic/Research,Gilbert Memorial Library,Yes,-84.39571204,33.7742961
250,176,176,Academic/Research,Centergy One,Yes,-84.38929735,33.77757017
251,176A,176A,Academic/Research,GT at Centergy One,Yes,-84.38910605,33.77719316
253,791,791,Admin/Services,Day Care,Yes,-84.40039488,33.78243022
254,106,106,Residence Halls,Fulmer Residence Hall,Yes,-84.40388281,33.77862999
255,73B,073B,Athletic,Zelnak Basketball Addition,Yes,-84.39228052,33.77987536
256,130,130,Residence Halls,Eighth Street Apts,Yes,-84.4043996,33.78015692
257,191,191,Residence Halls,North Ave Apts,Yes,-84.39101202,33.77005062
258,347,347,Athetic,Rose Bowl Field,Yes,-84.39416491,33.77880827
260,180,180,Residence Halls,Family Housing Apts,Yes,-84.39616364,33.78271056
261,134,134,Residence Halls,Fourth St Apts - Stein House,Yes,-84.39158514,33.77487335
262,203,203,Athletic,Ken Byers Tennis Complex,Yes,-84.39427896,33.78108671
264,200,200,Athletic,Indoor Football Practice,Yes,-84.39494171,33.77865411
266,199,199,Academic/Research,CNES,Yes,-84.40184676,33.77093985
267,195,195,Academic/Research,Krone EBB,Yes,-84.39839096,33.78080358
268,367,367,Athletic,Challenge Course,Yes,-84.40223085,33.77835692
269,190,190,Parking Deck,North Ave Apts South Parking Deck,Yes,-84.3913796,33.76868496
270,16A,016A,Residence Halls,GT Connector,Yes,-84.39128496,33.77370391
271,23B,023B,Academic/Research,Army Armory,Yes,-84.39444328,33.7734739
272,361,361,Greek Housing,Alpha Phi,Yes,-84.39268722,33.77411447
273,209,209,Dining Hall,West Village Dining,Yes,-84.40487292,33.77929335
